DEP,P15_POP,P15_POPF,P15_POP0014,P15_POP1529,P15_POP3044,P15_POP4559,P15_POP6074,P15_POP7589,P15_POP90P,P15_F0014,P15_F1529,P15_F3044,P15_F4559,P15_F6074,P15_F7589,P15_F90P
01,631877,319925.910897514,128088.557317217,103379.274993094,128524.872153543,129786.359553084,91993.8237217376,43767.2304437734,6336.88181755179,62574.2640896391,50393.3461937866,64634.1751237843,64989.278838733,46984.9468594299,25826.4809623168,4523.41882982491
02,538659,276704.484741568,104070.061042184,89651.8368414738,98760.3192823658,109680.838306215,87052.0693583053,44060.2400275022,5383.63514195472,50908.5095375807,44118.5046248719,49772.1142436324,55265.8962712768,45231.6842384124,27321.0661520111,4086.70967378262
03,341613,177943.942409742,53207.6005154864,48616.9126826588,56496.2407975422,70858.1225093411,66939.6768517779,39782.14481706,5712.30182613366,26215.2770026216,23372.3945656355,28661.4148922796,36109.2404017303,35192.6126177044,24190.1491541195,4202.85377565055
04,161799,83082.8064987176,26191.2439019622,22429.1330193865,26782.838998367,34691.6179608531,32127.6062691168,17120.6994129785,2455.86043733569,12540.5878545858,10843.4102098763,13735.4687496765,17701.3394576617,16576.5214271931,9884.70511606544,1800.7736836588
05,140916,72026.7773473066,23970.235318015,20254.5338713526,25475.6697650271,30153.5005321565,25428.4116588483,13498.7285473577,2134.92030724284,11795.4039488214,9683.49646451126,13012.4964418651,15106.6799412805,13052.7955159268,7836.08741308507,1539.81762181634
06,1082440,569592.564381014,170212.855533305,175125.712712021,198061.754263813,216869.342853563,189192.938364391,115029.749601994,17947.6466709132,82513.2772213782,87236.5339032942,101631.859108951,113150.36140072,102521.272819299,69365.6093788755,13173.6505484959
07,324209,166129.29931973,55898.4866936263,45167.7518278734,57075.816769775,68130.8674060175,60934.0258492907,32235.8371258211,4766.21432759591,27404.0761246468,22124.3258146855,28740.0685489336,34201.438997039,31231.5061239844,18927.3586278814,3500.52508255987
08,277752,142305.20702268,50782.5485818031,44982.8566315547,50305.5807340436,58762.4691587652,45859.3913789034,24342.9641957954,2716.18931913459,24813.1813048382,21849.907018623,25363.1361089044,29589.9432781787,23605.1335414281,15087.1245179525,1996.78125275477
09,152499,77987.5416460876,24445.1471240833,20761.0700029633,25873.3424048641,32635.1222063206,29327.7972681008,16884.1823224342,2572.33867123365,11885.337722392,9848.5919510124,13217.6810048927,16457.2687259178,14837.3771420123,9883.48942681488,1857.79567304562
10,309056,159113.969437285,56552.6487904401,52728.5847119575,56078.1643322791,60947.1594956744,51564.8984256936,27231.8456592115,3952.69858474379,27638.3203184017,25682.0522018885,28301.3822135173,30936.100077967,26956.3322119542,16687.6447918478,2912.13762170844
11,366957,190186.346806823,60776.376488162,52664.7442468392,62863.6324932892,74658.2690716467,72010.8690977906,38502.6814569175,5480.4271453547,29740.0650950151,25890.9432079021,32441.928334659,38216.5795263157,37447.0656032675,22564.3649818992,3885.40005776418
12,279169,141841.305208628,43870.6375434389,37434.3480325646,46630.8351090482,58363.1726149878,53800.3343427601,34052.1026412862,5017.56971591409,21167.3195511822,17591.6681544404,23262.666717395,28971.7672575193,27392.1088819823,19871.5847031252,3584.18994298394
13,2016622,1051443.51936506,359101.194838023,366393.151795821,382952.041590299,399287.556835535,317305.488181407,167767.256982275,23815.3097766389,175411.927103605,182444.677274372,198013.919566623,208046.463349739,169701.973781644,100342.537211115,17482.0210779598
14,693579,359757.643608144,123931.394000846,125660.83305348,125333.004756947,136166.138496304,114941.898045411,59187.0985290281,8358.63311798418,60301.4029659957,62366.5088386227,63422.2378278621,69585.5662424033,60947.7050822063,36843.5520019987,6290.67064905524
15,146219,74987.4805995202,21012.0468004795,19011.0295383025,24257.124848752,31894.2108246576,29442.1391290059,17985.1628307399,2617.28602806269,10381.7163976635,9256.62293972301,12024.6749632496,15678.8547577797,14944.8106165936,10798.6172884349,1902.18363607592
16,353613,182156.509062228,56513.4428625253,51993.8350806839,60456.2207308671,75142.4528973941,66472.7187512987,37432.5471305216,5601.78254670925,27271.7400754133,25155.2238235654,30441.8407765398,38380.4189309547,34581.8849008122,22203.8214152329,4121.57913970919
17,639938,333026.01745872,99879.874999166,92589.2106027011,107657.912904263,128202.179051219,131241.36636423,70078.967924677,10288.4881537445,48821.3063345817,44641.5056797623,54904.2091912169,66511.4025056703,69377.2690234698,41313.7241195657,7456.60060445361
18,308992,158907.39152377,50552.8264514803,45299.1648537324,52174.4240021354,65080.1327811197,58596.5139086994,32738.7741877553,4550.16381507745,24685.0640846281,21603.679726531,26350.1365389573,33023.5852632056,30361.9235710685,19489.4159065479,3393.58643283111
19,241871,124666.41464215,36616.4064760239,34392.4787527025,40449.7452008769,50295.3853098745,46962.7206828331,28716.9250176643,4437.33856002481,17910.7863329696,16012.1044994454,20159.4951825301,25360.3812912201,24525.1818603964,17391.3326684542,3307.13280713428
21,533147,275611.277357609,89759.4349812261,103302.41476696,97805.6330370271,105420.426085437,85422.8259820854,44604.6382695456,6831.62687771925,43887.6973792755,51641.4381854395,49361.3245503846,53900.4008299782,44739.3617440768,26985.7647888345,5095.28987962031
22,598357,309606.018088015,104114.853995542,84065.8863813278,101176.87649026,120049.271618155,114454.402636004,65828.3206151839,8667.38826352694,50878.6471342355,40604.4108215156,50851.8835643591,60380.5415240007,59940.419626277,40386.9475255681,6563.16789205944
23,120365,61817.5281476457,16718.5799149626,15041.6118241281,18313.0286078846,26079.4598092724,25477.4747673506,16187.5954591107,2547.24961729098,8150.63091951993,7105.73696506244,9077.33394846212,12967.4565819925,12827.1024780648,9833.74993704648,1855.51731749743
24,415417,215360.073668356,61738.2006102066,53899.9294522862,66478.2608903986,88605.4721710711,87445.396502185,49871.4109128717,7378.32946098076,30179.5766041707,26267.5849071879,33783.7885752247,45194.1654630113,45292.9639296078,29258.3777043237,5383.61648482951
25,536959,274075.923400214,100052.748964287,101562.979845447,102140.219228641,103177.747833041,81712.2282704237,42890.6187723098,5422.45708585023,48836.6717386466,49864.2532524021,50867.7092358875,52175.4501364384,42701.789947513,25610.4114260456,4019.63766328054
26,504637,259622.120322936,94693.5826822648,79161.2362741813,92691.9941739565,102737.137034603,85608.3228324657,43874.077527787,5870.64947474181,46095.8398029946,38544.2496855624,47448.3742159197,52489.984122979,44842.9278711836,26020.5079444398,4180.23667985671
